"datekey","fulldatealternatekey"
20050101,"2005-01-01"
20050102,"2005-01-02"
20050103,"2005-01-03"
20050104,"2005-01-04"
20050105,"2005-01-05"
20050106,"2005-01-06"
20050107,"2005-01-07"
20050108,"2005-01-08"
20050109,"2005-01-09"
20050110,"2005-01-10"
20050111,"2005-01-11"
20050112,"2005-01-12"
20050113,"2005-01-13"
20050114,"2005-01-14"
20050115,"2005-01-15"
20050116,"2005-01-16"
20050117,"2005-01-17"
20050118,"2005-01-18"
20050119,"2005-01-19"
20050120,"2005-01-20"
20050121,"2005-01-21"
20050122,"2005-01-22"
20050123,"2005-01-23"
20050124,"2005-01-24"
20050125,"2005-01-25"
20050126,"2005-01-26"
20050127,"2005-01-27"
20050128,"2005-01-28"
20050129,"2005-01-29"
20050130,"2005-01-30"
20050131,"2005-01-31"
20050201,"2005-02-01"
20050202,"2005-02-02"
20050203,"2005-02-03"
20050204,"2005-02-04"
20050205,"2005-02-05"
20050206,"2005-02-06"
20050207,"2005-02-07"
20050208,"2005-02-08"
20050209,"2005-02-09"
20050210,"2005-02-10"
20050211,"2005-02-11"
20050212,"2005-02-12"
20050213,"2005-02-13"
20050214,"2005-02-14"
20050215,"2005-02-15"
20050216,"2005-02-16"
20050217,"2005-02-17"
20050218,"2005-02-18"
20050219,"2005-02-19"
20050220,"2005-02-20"
20050221,"2005-02-21"
20050222,"2005-02-22"
20050223,"2005-02-23"
20050224,"2005-02-24"
20050225,"2005-02-25"
20050226,"2005-02-26"
20050227,"2005-02-27"
20050228,"2005-02-28"
20050301,"2005-03-01"
20050302,"2005-03-02"
20050303,"2005-03-03"
20050304,"2005-03-04"
20050305,"2005-03-05"
20050306,"2005-03-06"
20050307,"2005-03-07"
20050308,"2005-03-08"
20050309,"2005-03-09"
20050310,"2005-03-10"
20050311,"2005-03-11"
20050312,"2005-03-12"
20050313,"2005-03-13"
20050314,"2005-03-14"
20050315,"2005-03-15"
20050316,"2005-03-16"
20050317,"2005-03-17"
20050318,"2005-03-18"
20050319,"2005-03-19"
20050320,"2005-03-20"
20050321,"2005-03-21"
20050322,"2005-03-22"
20050323,"2005-03-23"
20050324,"2005-03-24"
20050325,"2005-03-25"
20050326,"2005-03-26"
20050327,"2005-03-27"
20050328,"2005-03-28"
20050329,"2005-03-29"
20050330,"2005-03-30"
20050331,"2005-03-31"
20050401,"2005-04-01"
20050402,"2005-04-02"
20050403,"2005-04-03"
20050404,"2005-04-04"
20050405,"2005-04-05"
20050406,"2005-04-06"
20050407,"2005-04-07"
