"productkey","orderdatekey","duedatekey","shipdatekey","customerkey","totalproductcost","salesamount"
310,"20191229",20200110,20200105,21768,2171,"3578.27"
346,"20191229",20200110,20200105,28389,1912,"3399.99"
346,"20191229",20200110,20200105,25863,1912,"3399.99"
336,"20191229",20200110,20200105,14501,413,"699.10"
346,"20191229",20200110,20200105,11003,1912,"3399.99"
311,"20191230",20200111,20200106,27645,2171,"3578.27"
310,"20191230",20200111,20200106,16624,2171,"3578.27"
351,"20191230",20200111,20200106,11005,1898,"3374.99"
344,"20191230",20200111,20200106,11011,1912,"3399.99"
312,"20191231",20200112,20200107,27621,2171,"3578.27"
312,"20191231",20200112,20200107,27616,2171,"3578.27"
330,"20191231",20200112,20200107,20042,413,"699.10"
313,"20191231",20200112,20200107,16351,2171,"3578.27"
314,"20191231",20200112,20200107,16517,2171,"3578.27"
314,"20200101",20200113,20200108,27606,2171,"3578.27"
311,"20200101",20200113,20200108,13513,2171,"3578.27"
310,"20200102",20200114,20200109,27601,2171,"3578.27"
311,"20200102",20200114,20200109,13591,2171,"3578.27"
314,"20200102",20200114,20200109,16483,2171,"3578.27"
311,"20200102",20200114,20200109,16529,2171,"3578.27"
336,"20200102",20200114,20200109,25249,413,"699.10"
311,"20200103",20200115,20200110,27668,2171,"3578.27"
312,"20200103",20200115,20200110,27612,2171,"3578.27"
311,"20200103",20200115,20200110,13264,2171,"3578.27"
310,"20200103",20200115,20200110,13590,2171,"3578.27"
312,"20200104",20200116,20200111,13581,2171,"3578.27"
332,"20200104",20200116,20200111,14520,413,"699.10"
311,"20200104",20200116,20200111,16520,2171,"3578.27"
311,"20200105",20200117,20200112,13258,2171,"3578.27"
332,"20200105",20200117,20200112,14560,413,"699.10"
311,"20200105",20200117,20200112,16607,2171,"3578.27"
313,"20200106",20200118,20200113,27666,2171,"3578.27"
346,"20200106",20200118,20200113,11238,1912,"3399.99"
346,"20200106",20200118,20200113,25861,1912,"3399.99"
314,"20200106",20200118,20200113,16629,2171,"3578.27"
350,"20200106",20200118,20200113,11025,1898,"3374.99"
312,"20200106",20200118,20200113,27577,2171,"3578.27"
312,"20200107",20200119,20200114,27604,2171,"3578.27"
310,"20200107",20200119,20200114,16522,2171,"3578.27"
346,"20200107",20200119,20200114,11002,1912,"3399.99"
311,"20200108",20200120,20200115,13261,2171,"3578.27"
312,"20200108",20200120,20200115,11606,2171,"3578.27"
310,"20200108",20200120,20200115,13563,2171,"3578.27"
312,"20200108",20200120,20200115,16527,2171,"3578.27"
310,"20200109",20200121,20200116,27671,2171,"3578.27"
314,"20200109",20200121,20200116,13576,2171,"3578.27"
347,"20200109",20200121,20200116,11007,1912,"3399.99"
313,"20200109",20200121,20200116,16631,2171,"3578.27"
311,"20200110",20200122,20200117,16514,2171,"3578.27"
312,"20200110",20200122,20200117,16616,2171,"3578.27"
314,"20200111",20200123,20200118,27623,2171,"3578.27"
313,"20200111",20200123,20200118,27625,2171,"3578.27"
314,"20200111",20200123,20200118,27636,2171,"3578.27"
311,"20200111",20200123,20200118,11591,2171,"3578.27"
313,"20200111",20200123,20200118,11592,2171,"3578.27"
311,"20200111",20200123,20200118,13265,2171,"3578.27"
310,"20200111",20200123,20200118,16482,2171,"3578.27"
312,"20200112",20200124,20200119,27617,2171,"3578.27"
311,"20200112",20200124,20200119,27670,2171,"3578.27"
332,"20200112",20200124,20200119,19941,413,"699.10"
350,"20200112",20200124,20200119,11017,1898,"3374.99"
310,"20200113",20200125,20200120,27646,2171,"3578.27"
310,"20200113",20200125,20200120,13257,2171,"3578.27"
314,"20200113",20200125,20200120,16352,2171,"3578.27"
310,"20200113",20200125,20200120,16493,2171,"3578.27"
314,"20200114",20200126,20200121,27578,2171,"3578.27"
313,"20200114",20200126,20200121,16525,2171,"3578.27"
310,"20200114",20200126,20200121,16612,2171,"3578.27"
346,"20200114",20200126,20200121,11010,1912,"3399.99"
313,"20200115",20200127,20200122,16518,2171,"3578.27"
350,"20200115",20200127,20200122,11001,1898,"3374.99"
312,"20200116",20200128,20200123,27649,2171,"3578.27"
312,"20200116",20200128,20200123,21659,2171,"3578.27"
312,"20200116",20200128,20200123,27614,2171,"3578.27"
330,"20200116",20200128,20200123,14559,413,"699.10"
312,"20200116",20200128,20200123,16524,2171,"3578.27"
314,"20200116",20200128,20200123,16526,2171,"3578.27"
313,"20200116",20200128,20200123,16348,2171,"3578.27"
347,"20200116",20200128,20200123,11027,1912,"3399.99"
314,"20200117",20200129,20200124,13260,2171,"3578.27"
311,"20200117",20200129,20200124,16515,2171,"3578.27"
345,"20200117",20200129,20200124,11018,1912,"3399.99"
326,"20200117",20200129,20200124,25252,413,"699.10"
311,"20200118",20200130,20200125,11599,2171,"3578.27"
312,"20200118",20200130,20200125,16495,2171,"3578.27"
312,"20200118",20200130,20200125,16516,2171,"3578.27"
312,"20200118",20200130,20200125,16620,2171,"3578.27"
310,"20200119",20200131,20200126,27667,2171,"3578.27"
311,"20200119",20200131,20200126,11601,2171,"3578.27"
311,"20200119",20200131,20200126,11607,2171,"3578.27"
344,"20200119",20200131,20200126,29385,1912,"3399.99"
351,"20200119",20200131,20200126,11239,1898,"3374.99"
351,"20200119",20200131,20200126,25865,1898,"3374.99"
344,"20200119",20200131,20200126,25857,1912,"3399.99"
314,"20200119",20200131,20200126,16484,2171,"3578.27"
312,"20200119",20200131,20200126,16623,2171,"3578.27"
344,"20200119",20200131,20200126,11000,1912,"3399.99"
347,"20200119",20200131,20200126,11029,1912,"3399.99"
312,"20200120",20200201,20200127,27615,2171,"3578.27"
342,"20200120",20200201,20200127,17956,413,"699.10"
312,"20200120",20200201,20200127,16345,2171,"3578.27"
310,"20200120",20200201,20200127,16521,2171,"3578.27"
312,"20200120",20200201,20200127,16636,2171,"3578.27"
311,"20200121",20200202,20200128,21710,2171,"3578.27"
311,"20200121",20200202,20200128,13583,2171,"3578.27"
312,"20200121",20200202,20200128,11593,2171,"3578.27"
314,"20200122",20200203,20200129,21741,2171,"3578.27"
310,"20200122",20200203,20200129,13585,2171,"3578.27"
328,"20200122",20200203,20200129,14510,413,"699.10"
312,"20200122",20200203,20200129,16523,2171,"3578.27"
312,"20200123",20200204,20200130,11611,2171,"3578.27"
313,"20200123",20200204,20200130,13259,2171,"3578.27"
310,"20200123",20200204,20200130,16350,2171,"3578.27"
345,"20200123",20200204,20200130,11004,1912,"3399.99"
346,"20200123",20200204,20200130,11026,1912,"3399.99"
312,"20200124",20200205,20200131,27662,2171,"3578.27"
350,"20200124",20200205,20200131,28390,1898,"3374.99"
350,"20200124",20200205,20200131,25866,1898,"3374.99"
311,"20200124",20200205,20200131,16494,2171,"3578.27"
314,"20200124",20200205,20200131,16496,2171,"3578.27"
310,"20200124",20200205,20200131,16519,2171,"3578.27"
312,"20200124",20200205,20200131,16528,2171,"3578.27"
346,"20200124",20200205,20200131,11006,1912,"3399.99"
312,"20200125",20200206,20200201,27651,2171,"3578.27"
310,"20200125",20200206,20200201,27663,2171,"3578.27"
313,"20200125",20200206,20200201,27669,2171,"3578.27"
342,"20200125",20200206,20200201,19942,413,"699.10"
338,"20200125",20200206,20200201,14558,413,"699.10"
313,"20200125",20200206,20200201,16349,2171,"3578.27"
348,"20200125",20200206,20200201,11008,1898,"3374.99"
338,"20200125",20200206,20200201,25250,413,"699.10"
310,"20200126",20200207,20200202,27605,2171,"3578.27"
310,"20200126",20200207,20200202,27611,2171,"3578.27"
311,"20200126",20200207,20200202,16347,2171,"3578.27"
349,"20200126",20200207,20200202,11028,1898,"3374.99"
310,"20200126",20200207,20200202,13584,2171,"3578.27"
310,"20200127",20200208,20200203,21727,2171,"3578.27"
348,"20200127",20200208,20200203,28393,1898,"3374.99"
348,"20200127",20200208,20200203,19802,1898,"3374.99"
324,"20200127",20200208,20200203,26620,413,"699.10"
350,"20200127",20200208,20200203,11009,1898,"3374.99"
313,"20200128",20200209,20200204,27641,2171,"3578.27"
311,"20200128",20200209,20200204,27673,2171,"3578.27"
326,"20200128",20200209,20200204,17957,413,"699.10"
314,"20200128",20200209,20200204,13406,2171,"3578.27"
312,"20200128",20200209,20200204,16630,2171,"3578.27"
313,"20200129",20200210,20200205,22041,2171,"3578.27"
314,"20200129",20200210,20200205,12124,2171,"3578.27"
313,"20200129",20200210,20200205,28066,2171,"3578.27"
313,"20200129",20200210,20200205,16743,2171,"3578.27"
310,"20200129",20200210,20200205,13546,2171,"3578.27"
312,"20200130",20200211,20200206,28018,2171,"3578.27"
310,"20200130",20200211,20200206,12132,2171,"3578.27"
314,"20200130",20200211,20200206,16661,2171,"3578.27"
351,"20200131",20200212,20200207,11055,1898,"3374.99"
314,"20200131",20200212,20200207,16662,2171,"3578.27"
313,"20200131",20200212,20200207,16740,2171,"3578.27"
322,"20200131",20200212,20200207,25270,413,"699.10"
312,"20200201",20200213,20200208,28038,2171,"3578.27"
313,"20200201",20200213,20200208,13548,2171,"3578.27"
314,"20200201",20200213,20200208,16741,2171,"3578.27"
347,"20200201",20200213,20200208,11031,1912,"3399.99"
346,"20200201",20200213,20200208,11034,1912,"3399.99"
334,"20200202",20200214,20200209,20048,413,"699.10"
311,"20200202",20200214,20200209,28065,2171,"3578.27"
312,"20200202",20200214,20200209,17047,2171,"3578.27"
310,"20200202",20200214,20200209,16686,2171,"3578.27"
312,"20200202",20200214,20200209,16659,2171,"3578.27"
336,"20200202",20200214,20200209,25294,413,"699.10"
314,"20200203",20200215,20200210,13600,2171,"3578.27"
310,"20200203",20200215,20200210,17051,2171,"3578.27"
338,"20200203",20200215,20200210,14565,413,"699.10"
344,"20200203",20200215,20200210,11054,1912,"3399.99"
310,"20200203",20200215,20200210,16675,2171,"3578.27"
313,"20200203",20200215,20200210,16687,2171,"3578.27"
310,"20200203",20200215,20200210,16712,2171,"3578.27"
345,"20200203",20200215,20200210,11047,1912,"3399.99"
310,"20200204",20200216,20200211,27726,2171,"3578.27"
311,"20200204",20200216,20200211,28014,2171,"3578.27"
311,"20200204",20200216,20200211,16696,2171,"3578.27"
312,"20200204",20200216,20200211,16639,2171,"3578.27"
342,"20200205",20200217,20200212,20049,413,"699.10"
311,"20200205",20200217,20200212,13602,2171,"3578.27"
314,"20200205",20200217,20200212,13661,2171,"3578.27"
344,"20200205",20200217,20200212,11030,1912,"3399.99"
313,"20200206",20200218,20200213,28068,2171,"3578.27"
312,"20200206",20200218,20200213,16658,2171,"3578.27"
348,"20200206",20200218,20200213,11035,1898,"3374.99"
349,"20200206",20200218,20200213,11046,1898,"3374.99"
311,"20200207",20200219,20200214,28031,2171,"3578.27"
312,"20200207",20200219,20200214,28076,2171,"3578.27"
314,"20200207",20200219,20200214,16685,2171,"3578.27"
312,"20200207",20200219,20200214,16745,2171,"3578.27"
351,"20200207",20200219,20200214,11038,1898,"3374.99"
347,"20200207",20200219,20200214,11039,1912,"3399.99"
313,"20200208",20200220,20200215,28040,2171,"3578.27"
313,"20200208",20200220,20200215,28067,2171,"3578.27"
310,"20200208",20200220,20200215,28071,2171,"3578.27"
311,"20200208",20200220,20200215,16684,2171,"3578.27"
314,"20200208",20200220,20200215,16657,2171,"3578.27"
314,"20200209",20200221,20200216,21939,2171,"3578.27"
312,"20200209",20200221,20200216,28039,2171,"3578.27"
312,"20200209",20200221,20200216,13687,2171,"3578.27"
312,"20200209",20200221,20200216,13540,2171,"3578.27"
310,"20200209",20200221,20200216,28063,2171,"3578.27"
312,"20200209",20200221,20200216,16703,2171,"3578.27"
310,"20200210",20200222,20200217,28030,2171,"3578.27"
322,"20200210",20200222,20200217,14576,413,"699.10"
351,"20200210",20200222,20200217,11048,1898,"3374.99"
314,"20200210",20200222,20200217,16664,2171,"3578.27"
342,"20200210",20200222,20200217,25271,413,"699.10"
314,"20200211",20200223,20200218,28017,2171,"3578.27"
311,"20200211",20200223,20200218,13545,2171,"3578.27"
313,"20200211",20200223,20200218,13515,2171,"3578.27"
310,"20200211",20200223,20200218,28070,2171,"3578.27"
310,"20200212",20200224,20200219,28042,2171,"3578.27"
344,"20200212",20200224,20200219,11244,1912,"3399.99"
312,"20200212",20200224,20200219,28083,2171,"3578.27"
344,"20200212",20200224,20200219,25872,1912,"3399.99"
310,"20200212",20200224,20200219,16660,2171,"3578.27"
311,"20200212",20200224,20200219,16638,2171,"3578.27"
314,"20200214",20200226,20200221,16929,2171,"3578.27"
314,"20200215",20200227,20200222,27681,2171,"3578.27"
312,"20200215",20200227,20200222,21813,2171,"3578.27"
310,"20200215",20200227,20200222,27920,2171,"3578.27"
310,"20200215",20200227,20200222,28022,2171,"3578.27"
348,"20200215",20200227,20200222,11033,1898,"3374.99"
311,"20200215",20200227,20200222,28047,2171,"3578.27"
311,"20200216",20200228,20200223,27918,2171,"3578.27"
313,"20200216",20200228,20200223,28044,2171,"3578.27"
336,"20200216",20200228,20200223,14572,413,"699.10"
342,"20200216",20200228,20200223,19325,413,"699.10"
310,"20200216",20200228,20200223,28061,2171,"3578.27"
334,"20200216",20200228,20200223,26629,413,"699.10"
310,"20200216",20200228,20200223,16744,2171,"3578.27"
320,"20200216",20200228,20200223,25555,413,"699.10"
312,"20200217",20200301,20200224,27678,2171,"3578.27"
314,"20200217",20200301,20200224,27759,2171,"3578.27"
310,"20200217",20200301,20200224,13680,2171,"3578.27"
310,"20200217",20200301,20200224,13514,2171,"3578.27"
349,"20200217",20200301,20200224,11052,1898,"3374.99"
312,"20200217",20200301,20200224,16928,2171,"3578.27"
313,"20200218",20200302,20200225,27917,2171,"3578.27"
311,"20200218",20200302,20200225,13693,2171,"3578.27"
350,"20200218",20200302,20200225,11247,1898,"3374.99"
310,"20200218",20200302,20200225,28078,2171,"3578.27"
350,"20200218",20200302,20200225,25876,1898,"3374.99"
310,"20200218",20200302,20200225,16701,2171,"3578.27"
311,"20200218",20200302,20200225,16931,2171,"3578.27"
348,"20200218",20200302,20200225,11032,1898,"3374.99"
313,"20200219",20200303,20200226,22008,2171,"3578.27"
349,"20200219",20200303,20200226,19830,1898,"3374.99"
314,"20200219",20200303,20200226,16663,2171,"3578.27"
314,"20200219",20200303,20200226,16708,2171,"3578.27"
310,"20200219",20200303,20200226,17045,2171,"3578.27"
310,"20200220",20200304,20200227,21921,2171,"3578.27"
312,"20200220",20200304,20200227,17048,2171,"3578.27"
350,"20200220",20200304,20200227,11050,1898,"3374.99"
311,"20200221",20200305,20200228,12131,2171,"3578.27"
313,"20200221",20200305,20200228,13689,2171,"3578.27"
344,"20200221",20200305,20200228,11243,1912,"3399.99"
