"productcategorykey","category","productsubcategorykey","subcategory","productkey","productname","color","productline","modelname"
1,"Bikes",1,"Mountain Bikes",359,"Mountain-200 Black, 38","Black","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",360,"Mountain-200 Black, 42","Black","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",361,"Mountain-200 Black, 42","Black","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",362,"Mountain-200 Black, 46","Black","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",363,"Mountain-200 Black, 46","Black","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",364,"Mountain-300 Black, 38","Black","M ","Mountain-300"
1,"Bikes",1,"Mountain Bikes",365,"Mountain-300 Black, 40","Black","M ","Mountain-300"
1,"Bikes",1,"Mountain Bikes",366,"Mountain-300 Black, 44","Black","M ","Mountain-300"
1,"Bikes",1,"Mountain Bikes",367,"Mountain-300 Black, 48","Black","M ","Mountain-300"
1,"Bikes",1,"Mountain Bikes",598,"Mountain-500 Black, 44","Black","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",597,"Mountain-500 Black, 42","Black","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",596,"Mountain-500 Black, 40","Black","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",595,"Mountain-500 Silver, 52","Silver","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",594,"Mountain-500 Silver, 48","Silver","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",593,"Mountain-500 Silver, 44","Silver","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",592,"Mountain-500 Silver, 42","Silver","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",591,"Mountain-500 Silver, 40","Silver","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",590,"Mountain-400-W Silver, 46","Silver","M ","Mountain-400-W"
1,"Bikes",1,"Mountain Bikes",589,"Mountain-400-W Silver, 42","Silver","M ","Mountain-400-W"
1,"Bikes",1,"Mountain Bikes",588,"Mountain-400-W Silver, 40","Silver","M ","Mountain-400-W"
1,"Bikes",1,"Mountain Bikes",587,"Mountain-400-W Silver, 38","Silver","M ","Mountain-400-W"
1,"Bikes",1,"Mountain Bikes",347,"Mountain-100 Silver, 48","Silver","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",348,"Mountain-100 Black, 38","Black","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",344,"Mountain-100 Silver, 38","Silver","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",345,"Mountain-100 Silver, 42","Silver","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",346,"Mountain-100 Silver, 44","Silver","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",600,"Mountain-500 Black, 52","Black","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",599,"Mountain-500 Black, 48","Black","M ","Mountain-500"
1,"Bikes",1,"Mountain Bikes",349,"Mountain-100 Black, 42","Black","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",350,"Mountain-100 Black, 44","Black","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",351,"Mountain-100 Black, 48","Black","M ","Mountain-100"
1,"Bikes",1,"Mountain Bikes",352,"Mountain-200 Silver, 38","Silver","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",353,"Mountain-200 Silver, 38","Silver","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",354,"Mountain-200 Silver, 42","Silver","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",355,"Mountain-200 Silver, 42","Silver","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",356,"Mountain-200 Silver, 46","Silver","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",357,"Mountain-200 Silver, 46","Silver","M ","Mountain-200"
1,"Bikes",1,"Mountain Bikes",358,"Mountain-200 Black, 38","Black","M ","Mountain-200"
1,"Bikes",2,"Road Bikes",310,"Road-150 Red, 62","Red","R ","Road-150"
1,"Bikes",2,"Road Bikes",606,"Road-750 Black, 52","Black","R ","Road-750"
1,"Bikes",2,"Road Bikes",605,"Road-750 Black, 48","Black","R ","Road-750"
1,"Bikes",2,"Road Bikes",604,"Road-750 Black, 44","Black","R ","Road-750"
1,"Bikes",2,"Road Bikes",584,"Road-750 Black, 58","Black","R ","Road-750"
1,"Bikes",2,"Road Bikes",583,"Road-350-W Yellow, 48","Yellow","R ","Road-350-W"
1,"Bikes",2,"Road Bikes",582,"Road-350-W Yellow, 44","Yellow","R ","Road-350-W"
1,"Bikes",2,"Road Bikes",581,"Road-350-W Yellow, 42","Yellow","R ","Road-350-W"
1,"Bikes",2,"Road Bikes",580,"Road-350-W Yellow, 40","Yellow","R ","Road-350-W"
1,"Bikes",2,"Road Bikes",387,"Road-550-W Yellow, 44","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",386,"Road-550-W Yellow, 42","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",385,"Road-550-W Yellow, 42","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",384,"Road-550-W Yellow, 40","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",383,"Road-550-W Yellow, 40","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",382,"Road-550-W Yellow, 38","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",381,"Road-550-W Yellow, 38","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",380,"Road-250 Black, 58","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",379,"Road-250 Black, 58","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",378,"Road-250 Black, 52","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",377,"Road-250 Black, 52","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",376,"Road-250 Black, 48","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",375,"Road-250 Black, 48","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",374,"Road-250 Black, 44","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",373,"Road-250 Black, 44","Black","R ","Road-250"
1,"Bikes",2,"Road Bikes",372,"Road-250 Red, 58","Red","R ","Road-250"
